Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R99,820,R_0805_2012Metric,107.8195,-87.87725,180.0,top
R100,820,R_0805_2012Metric,130.362,-87.87725,180.0,top
R101,820,R_0805_2012Metric,152.9045,-87.87725,180.0,top
R102,820,R_0805_2012Metric,175.447,-87.87725,180.0,top
R103,820,R_0805_2012Metric,197.9895,-87.87725,180.0,top
R104,820,R_0805_2012Metric,220.532,-87.87725,180.0,top
R105,15k,R_0805_2012Metric,98.612,-88.82975,90.0,top
R106,15k,R_0805_2012Metric,121.1545,-88.82975,90.0,top
R107,15k,R_0805_2012Metric,143.697,-88.82975,90.0,top
R108,15k,R_0805_2012Metric,166.2395,-88.82975,90.0,top
R109,15k,R_0805_2012Metric,188.782,-88.82975,90.0,top
R110,15k,R_0805_2012Metric,211.3245,-88.82975,90.0,top
R111,10k,R_0805_2012Metric,91.8175,-89.90925,135.0,top
R112,1k,R_0805_2012Metric,76.637,-90.99,90.0,top
R113,15k,R_0805_2012Metric,114.547,-94.30725,-90.0,top
R114,15k,R_0805_2012Metric,137.0895,-94.30725,-90.0,top
R115,15k,R_0805_2012Metric,159.9495,-94.30725,-90.0,top
R116,15k,R_0805_2012Metric,182.1745,-94.30725,-90.0,top
R117,15k,R_0805_2012Metric,204.717,-94.30725,-90.0,top
R118,15k,R_0805_2012Metric,225.587,-94.30725,-90.0,top
R119,15k,R_0805_2012Metric,100.8995,-96.13225,90.0,top
R120,820,R_0805_2012Metric,105.3395,-96.13225,90.0,top
R121,15k,R_0805_2012Metric,109.7795,-96.13225,90.0,top
R122,15k,R_0805_2012Metric,123.442,-96.13225,90.0,top
R123,820,R_0805_2012Metric,127.882,-96.13225,90.0,top
R124,15k,R_0805_2012Metric,132.322,-96.13225,90.0,top
R125,15k,R_0805_2012Metric,145.9845,-96.13225,90.0,top
R126,820,R_0805_2012Metric,150.4245,-96.13225,90.0,top
R127,15k,R_0805_2012Metric,154.8645,-96.13225,90.0,top
R128,15k,R_0805_2012Metric,168.527,-96.13225,90.0,top
R129,820,R_0805_2012Metric,172.967,-96.13225,90.0,top
R130,15k,R_0805_2012Metric,177.407,-96.13225,90.0,top
R131,15k,R_0805_2012Metric,191.0695,-96.13225,90.0,top
R132,820,R_0805_2012Metric,195.5095,-96.13225,90.0,top
R133,15k,R_0805_2012Metric,199.9495,-96.13225,90.0,top
R134,15k,R_0805_2012Metric,213.612,-96.13225,90.0,top
R135,820,R_0805_2012Metric,218.052,-96.13225,90.0,top
R136,15k,R_0805_2012Metric,222.492,-96.13225,90.0,top
R137,10k,R_0805_2012Metric,230.4345,-118.03975,90.0,top
R138,220k,R_0805_2012Metric,219.0045,-126.29475,0.0,top
R139,1k,R_0805_2012Metric,153.79,-35.42625,-90.0,top
R140,470,R_0805_2012Metric,63.587,-116.28225,0.0,top
R141,1M,R_0805_2012Metric,223.767707,-131.056543,-90.0,top
R142,1k,R_0805_2012Metric,151.6075,-17.01125,0.0,top
R143,1k,R_0805_2012Metric,213.607,-134.23225,-90.0,top
R144,1k5,R_0603_1608Metric,55.704,-37.29125,180.0,top
R145,100k,R_0805_2012Metric,217.0995,-138.63725,-90.0,top
R146,15k,R_0805_2012Metric,230.4345,-139.94725,90.0,top
R147,3M3,R_0805_2012Metric,217.0995,-144.39225,90.0,top
R148,10k,R_0805_2012Metric,230.4345,-144.39225,90.0,top
R149,470,R_0805_2012Metric,217.0995,-148.83725,90.0,top
R150,10k,R_0805_2012Metric,219.957,-148.83725,-90.0,top
R151,10k,R_0805_2012Metric,227.577,-148.83725,-90.0,top
R152,470,R_0805_2012Metric,230.4345,-148.83725,90.0,top
RV1,10k,Potentiometer_Alps_RK163_Dual_Horizontal,147.84,-5.52,90.0,top
SW1,POWER,SPUN192600,23.84,-24.55,90.0,top
SW2,RESET,SW_PUSH_6mm,21.0745,-79.45225,90.0,top
U1,TL064,SO-14_3.9x8.65mm_P1.27mm,151.25,-28.75875,0.0,top
U2,AD5674R,LFCSP-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm_ThermalVias,91.627,-68.50975,0.0,top
U3,SSI2144,SSOP-16_3.9x4.9mm_P0.635mm,102.7395,-82.79725,90.0,top
U4,SSI2144,SSOP-16_3.9x4.9mm_P0.635mm,125.282,-82.79725,90.0,top
U5,SSI2144,SSOP-16_3.9x4.9mm_P0.635mm,147.8245,-82.79725,90.0,top
U6,SSI2144,SSOP-16_3.9x4.9mm_P0.635mm,170.367,-82.79725,90.0,top
U7,SSI2144,SSOP-16_3.9x4.9mm_P0.635mm,192.9095,-82.79725,90.0,top
U8,SSI2144,SSOP-16_3.9x4.9mm_P0.635mm,215.452,-82.79725,90.0,top
U9,LPC1778FBD144,LQFP-144_20x20mm_P0.5mm,58.5395,-94.05725,180.0,top
U10,MCP4922-ESL,SO-14_3.9x8.65mm_P1.27mm,106.6095,-105.65725,0.0,top
U11,MCP4922-ESL,SO-14_3.9x8.65mm_P1.27mm,129.152,-105.65725,0.0,top
U12,MCP4922-ESL,SO-14_3.9x8.65mm_P1.27mm,151.6945,-105.65725,0.0,top
U13,MCP4922-ESL,SO-14_3.9x8.65mm_P1.27mm,174.237,-105.65725,0.0,top
U14,MCP4922-ESL,SO-14_3.9x8.65mm_P1.27mm,196.7795,-105.65725,0.0,top
U15,MCP4922-ESL,SO-14_3.9x8.65mm_P1.27mm,219.322,-105.65725,0.0,top
U16,W25Q512JVFIQ,SOIC-16W_7.5x10.3mm_P1.27mm,77.5895,-108.02725,90.0,top
U17,74HC138,SO-16_3.9x9.9mm_P1.27mm,95.1795,-112.64225,270.0,top
U18,TLV2556,SOIC-20W_7.5x12.8mm_P1.27mm,30.092,-115.81725,270.0,top
U19,TL064,SO-14_3.9x8.65mm_P1.27mm,223.767,-142.16975,0.0,top
U20,ADUM3160,SOIC-16W_7.5x10.3mm_P1.27mm,57.609,-29.67125,180.0,top
Y1,12MHz,Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm,51.7895,-75.55725,0.0,top
